Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (32457 already done, 17543 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5: already complete, skipping ---
--- Round 4/5 (2457 done, 7543 remaining) ---
[32458/50000] 2026-06-28 16:29:01 | R4 | bubblesort/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[32638/50000] 2026-06-28 16:30:57 | R4 | bubblesort/test_1_artifice_no_krakatau vs guessword/test_1_artifice_no_procyon → NON-CLONE
[32639/50000] 2026-06-28 16:30:58 | R4 | bubblesort/test_1_artifice_no_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[32640/50000] 2026-06-28 16:30:58 | R4 | bubblesort/test_1_artifice_no_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[32641/50000] 2026-06-28 16:30:59 | R4 | bubblesort/test_1_artifice_no_krakatau vs hanoi/0_orig → NON-CLONE
[32642/50000] 2026-06-28 16:31:00 | R4 | bubblesort/test_1_artifice_no_krakatau vs hanoi/1_artifice → NON-CLONE
[32643/50000] 2026-06-28 16:31:01 | R4 | bubblesort/test_1_artifice_no_krakatau vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[32644/50000] 2026-06-28 16:31:01 | R4 | bubblesort/test_1_artifice_no_krakatau vs hanoi/test_0_orig_no_procyon → NON-CLONE
[32645/50000] 2026-06-28 16:31:02 | R4 | bubblesort/test_1_artifice_no_krakatau vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[32646/50000] 2026-06-28 16:31:03 | R4 | bubblesort/test_1_artifice_no_krakatau vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[32647/50000] 2026-06-28 16:31:03 | R4 | bubblesort/test_1_artifice_no_krakatau vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[32648/50000] 2026-06-28 16:31:04 | R4 | bubblesort/test_1_artifice_no_krakatau vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[32649/50000] 2026-06-28 16:31:05 | R4 | bubblesort/test_1_artifice_no_krakatau vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[32650/50000] 2026-06-28 16:31:05 | R4 | bubblesort/test_1_artifice_no_krakatau vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[32651/50000] 2026-06-28 16:31:06 | R4 | bubblesort/test_1_artifice_no_krakatau vs kaprekar/0_orig → NON-CLONE
[32652/50000] 2026-06-28 16:31:06 | R4 | bubblesort/test_1_artifice_no_krakatau vs kaprekar/1_artifice → NON-CLONE
[32653/50000] 2026-06-28 16:31:07 | R4 | bubblesort/test_1_artifice_no_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[32654/50000] 2026-06-28 16:31:08 | R4 | bubblesort/test_1_artifice_no_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[32655/50000] 2026-06-28 16:31:08 | R4 | bubblesort/test_1_artifice_no_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[32656/50000] 2026-06-28 16:31:09 | R4 | bubblesort/test_1_artifice_no_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[32657/50000] 2026-06-28 16:31:10 | R4 | bubblesort/test_1_artifice_no_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[32658/50000] 2026-06-28 16:31:10 | R4 | bubblesort/test_1_artifice_no_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[32659/50000] 2026-06-28 16:31:11 | R4 | bubblesort/test_1_artifice_no_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[32660/50000] 2026-06-28 16:31:12 | R4 | bubblesort/test_1_artifice_no_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[32661/50000] 2026-06-28 16:31:12 | R4 | bubblesort/test_1_artifice_no_krakatau vs queens/0_orig → NON-CLONE
[32662/50000] 2026-06-28 16:31:13 | R4 | bubblesort/test_1_artifice_no_krakatau vs queens/1_artifice → NON-CLONE
[32663/50000] 2026-06-28 16:31:13 | R4 | bubblesort/test_1_artifice_no_krakatau vs queens/test_0_orig_no_krakatau → NON-CLONE
[32664/50000] 2026-06-28 16:31:14 | R4 | bubblesort/test_1_artifice_no_krakatau vs queens/test_0_orig_no_procyon → NON-CLONE
[32665/50000] 2026-06-28 16:31:15 | R4 | bubblesort/test_1_artifice_no_krakatau vs queens/test_0_orig_pg_krakatau → NON-CLONE
[32666/50000] 2026-06-28 16:31:15 | R4 | bubblesort/test_1_artifice_no_krakatau vs queens/test_0_orig_pg_procyon → NON-CLONE
[32667/50000] 2026-06-28 16:31:16 | R4 | bubblesort/test_1_artifice_no_krakatau vs queens/test_1_artifice_no_krakatau → NON-CLONE
[32668/50000] 2026-06-28 16:31:17 | R4 | bubblesort/test_1_artifice_no_krakatau vs queens/test_1_artifice_no_procyon → NON-CLONE
[32669/50000] 2026-06-28 16:31:17 | R4 | bubblesort/test_1_artifice_no_krakatau vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[32670/50000] 2026-06-28 16:31:18 | R4 | bubblesort/test_1_artifice_no_krakatau vs queens/test_1_artifice_pg_procyon → NON-CLONE
[32671/50000] 2026-06-28 16:31:19 | R4 | bubblesort/test_1_artifice_no_krakatau vs railroadcar/0_orig → NON-CLONE
[32672/50000] 2026-06-28 16:31:19 | R4 | bubblesort/test_1_artifice_no_krakatau vs railroadcar/1_artifice → NON-CLONE
[32673/50000] 2026-06-28 16:31:20 | R4 | bubblesort/test_1_artifice_no_krakatau vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[32674/50000] 2026-06-28 16:31:21 | R4 | bubblesort/test_1_artifice_no_krakatau vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[32675/50000] 2026-06-28 16:31:21 | R4 | bubblesort/test_1_artifice_no_krakatau vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[32676/50000] 2026-06-28 16:31:22 | R4 | bubblesort/test_1_artifice_no_krakatau vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[32677/50000] 2026-06-28 16:31:22 | R4 | bubblesort/test_1_artifice_no_krakatau vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[32678/50000] 2026-06-28 16:31:23 | R4 | bubblesort/test_1_artifice_no_krakatau vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[32679/50000] 2026-06-28 16:31:23 | R4 | bubblesort/test_1_artifice_no_krakatau vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[32680/50000] 2026-06-28 16:31:24 | R4 | bubblesort/test_1_artifice_no_krakatau vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[32681/50000] 2026-06-28 16:31:25 | R4 | bubblesort/test_1_artifice_no_krakatau vs slinkedlist/0_orig → NON-CLONE
[32682/50000] 2026-06-28 16:31:25 | R4 | bubblesort/test_1_artifice_no_krakatau vs slinkedlist/1_artifice → NON-CLONE
[32683/50000] 2026-06-28 16:31:26 | R4 | bubblesort/test_1_artifice_no_krakatau vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[32684/50000] 2026-06-28 16:31:26 | R4 | bubblesort/test_1_artifice_no_krakatau vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[32685/50000] 2026-06-28 16:31:27 | R4 | bubblesort/test_1_artifice_no_krakatau vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[32686/50000] 2026-06-28 16:31:28 | R4 | bubblesort/test_1_artifice_no_krakatau vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[32687/50000] 2026-06-28 16:31:28 | R4 | bubblesort/test_1_artifice_no_krakatau vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[32688/50000] 2026-06-28 16:31:29 | R4 | bubblesort/test_1_artifice_no_krakatau vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[32689/50000] 2026-06-28 16:31:30 | R4 | bubblesort/test_1_artifice_no_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[32690/50000] 2026-06-28 16:31:30 | R4 | bubblesort/test_1_artifice_no_krakatau vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[32691/50000] 2026-06-28 16:31:31 | R4 | bubblesort/test_1_artifice_no_krakatau vs square/0_orig → NON-CLONE
[32692/50000] 2026-06-28 16:31:31 | R4 | bubblesort/test_1_artifice_no_krakatau vs square/1_artifice → NON-CLONE
[32693/50000] 2026-06-28 16:31:32 | R4 | bubblesort/test_1_artifice_no_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[32694/50000] 2026-06-28 16:31:33 | R4 | bubblesort/test_1_artifice_no_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[32695/50000] 2026-06-28 16:31:33 | R4 | bubblesort/test_1_artifice_no_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[32696/50000] 2026-06-28 16:31:34 | R4 | bubblesort/test_1_artifice_no_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[32697/50000] 2026-06-28 16:31:35 | R4 | bubblesort/test_1_artifice_no_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[32698/50000] 2026-06-28 16:31:35 | R4 | bubblesort/test_1_artifice_no_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[32699/50000] 2026-06-28 16:31:36 | R4 | bubblesort/test_1_artifice_no_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[32700/50000] 2026-06-28 16:31:37 | R4 | bubblesort/test_1_artifice_no_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[32701/50000] 2026-06-28 16:31:37 | R4 | bubblesort/test_1_artifice_no_procyon vs InfixConverter/0_orig → NON-CLONE
[32702/50000] 2026-06-28 16:31:38 | R4 | bubblesort/test_1_artifice_no_procyon vs InfixConverter/1_artifice → NON-CLONE
[32703/50000] 2026-06-28 16:31:39 | R4 | bubblesort/test_1_artifice_no_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[32704/50000] 2026-06-28 16:31:40 | R4 | bubblesort/test_1_artifice_no_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[32705/50000] 2026-06-28 16:31:40 | R4 | bubblesort/test_1_artifice_no_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[32706/50000] 2026-06-28 16:31:41 | R4 | bubblesort/test_1_artifice_no_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[32707/50000] 2026-06-28 16:31:41 | R4 | bubblesort/test_1_artifice_no_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[32708/50000] 2026-06-28 16:31:42 | R4 | bubblesort/test_1_artifice_no_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[32709/50000] 2026-06-28 16:31:43 | R4 | bubblesort/test_1_artifice_no_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[32710/50000] 2026-06-28 16:31:43 | R4 | bubblesort/test_1_artifice_no_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[32711/50000] 2026-06-28 16:31:44 | R4 | bubblesort/test_1_artifice_no_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[32712/50000] 2026-06-28 16:31:44 | R4 | bubblesort/test_1_artifice_no_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[32713/50000] 2026-06-28 16:31:45 | R4 | bubblesort/test_1_artifice_no_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[32714/50000] 2026-06-28 16:31:46 | R4 | bubblesort/test_1_artifice_no_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[32715/50000] 2026-06-28 16:31:47 | R4 | bubblesort/test_1_artifice_no_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[32716/50000] 2026-06-28 16:31:47 | R4 | bubblesort/test_1_artifice_no_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[32717/50000] 2026-06-28 16:31:48 | R4 | bubblesort/test_1_artifice_no_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[32718/50000] 2026-06-28 16:31:49 | R4 | bubblesort/test_1_artifice_no_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[32719/50000] 2026-06-28 16:31:49 | R4 | bubblesort/test_1_artifice_no_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[32720/50000] 2026-06-28 16:31:50 | R4 | bubblesort/test_1_artifice_no_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[32721/50000] 2026-06-28 16:31:51 | R4 | bubblesort/test_1_artifice_no_procyon vs bubblesort/0_orig → CLONE
[32722/50000] 2026-06-28 16:31:51 | R4 | bubblesort/test_1_artifice_no_procyon vs bubblesort/1_artifice → CLONE
[32723/50000] 2026-06-28 16:31:52 | R4 | bubblesort/test_1_artifice_no_procyon vs bubblesort/test_0_orig_no_krakatau → CLONE
[32724/50000] 2026-06-28 16:31:52 | R4 | bubblesort/test_1_artifice_no_procyon vs bubblesort/test_0_orig_no_procyon → CLONE
[32725/50000] 2026-06-28 16:31:53 | R4 | bubblesort/test_1_artifice_no_procyon vs bubblesort/test_0_orig_pg_krakatau → CLONE
[32726/50000] 2026-06-28 16:31:53 | R4 | bubblesort/test_1_artifice_no_procyon vs bubblesort/test_0_orig_pg_procyon → CLONE
[32727/50000] 2026-06-28 16:31:54 | R4 | bubblesort/test_1_artifice_no_procyon vs bubblesort/test_1_artifice_no_krakatau → CLONE
[32728/50000] 2026-06-28 16:31:54 | R4 | bubblesort/test_1_artifice_no_procyon vs bubblesort/test_1_artifice_no_procyon → CLONE
[32729/50000] 2026-06-28 16:31:55 | R4 | bubblesort/test_1_artifice_no_procyon vs bubblesort/test_1_artifice_pg_krakatau → CLONE
[32730/50000] 2026-06-28 16:31:56 | R4 | bubblesort/test_1_artifice_no_procyon vs bubblesort/test_1_artifice_pg_procyon → CLONE
[32731/50000] 2026-06-28 16:31:56 | R4 | bubblesort/test_1_artifice_no_procyon vs guessword/0_orig → NON-CLONE
[32732/50000] 2026-06-28 16:31:57 | R4 | bubblesort/test_1_artifice_no_procyon vs guessword/1_artifice → NON-CLONE
[32733/50000] 2026-06-28 16:31:58 | R4 | bubblesort/test_1_artifice_no_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[32734/50000] 2026-06-28 16:31:58 | R4 | bubblesort/test_1_artifice_no_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[32735/50000] 2026-06-28 16:31:59 | R4 | bubblesort/test_1_artifice_no_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[32736/50000] 2026-06-28 16:32:00 | R4 | bubblesort/test_1_artifice_no_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[32737/50000] 2026-06-28 16:32:00 | R4 | bubblesort/test_1_artifice_no_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[32738/50000] 2026-06-28 16:32:01 | R4 | bubblesort/test_1_artifice_no_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[32739/50000] 2026-06-28 16:32:02 | R4 | bubblesort/test_1_artifice_no_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[32740/50000] 2026-06-28 16:32:02 | R4 | bubblesort/test_1_artifice_no_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[32741/50000] 2026-06-28 16:32:03 | R4 | bubblesort/test_1_artifice_no_procyon vs hanoi/0_orig → NON-CLONE
[32742/50000] 2026-06-28 16:32:03 | R4 | bubblesort/test_1_artifice_no_procyon vs hanoi/1_artifice → NON-CLONE
[32743/50000] 2026-06-28 16:32:04 | R4 | bubblesort/test_1_artifice_no_procyon vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[32744/50000] 2026-06-28 16:32:05 | R4 | bubblesort/test_1_artifice_no_procyon vs hanoi/test_0_orig_no_procyon → NON-CLONE
[32745/50000] 2026-06-28 16:32:05 | R4 | bubblesort/test_1_artifice_no_procyon vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[32746/50000] 2026-06-28 16:32:06 | R4 | bubblesort/test_1_artifice_no_procyon vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[32747/50000] 2026-06-28 16:32:07 | R4 | bubblesort/test_1_artifice_no_procyon vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[32748/50000] 2026-06-28 16:32:08 | R4 | bubblesort/test_1_artifice_no_procyon vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[32749/50000] 2026-06-28 16:32:08 | R4 | bubblesort/test_1_artifice_no_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[32750/50000] 2026-06-28 16:32:09 | R4 | bubblesort/test_1_artifice_no_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[32751/50000] 2026-06-28 16:32:10 | R4 | bubblesort/test_1_artifice_no_procyon vs kaprekar/0_orig → NON-CLONE
[32752/50000] 2026-06-28 16:32:10 | R4 | bubblesort/test_1_artifice_no_procyon vs kaprekar/1_artifice → NON-CLONE
[32753/50000] 2026-06-28 16:32:11 | R4 | bubblesort/test_1_artifice_no_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[32754/50000] 2026-06-28 16:32:11 | R4 | bubblesort/test_1_artifice_no_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[32755/50000] 2026-06-28 16:32:12 | R4 | bubblesort/test_1_artifice_no_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[32756/50000] 2026-06-28 16:32:13 | R4 | bubblesort/test_1_artifice_no_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[32757/50000] 2026-06-28 16:32:13 | R4 | bubblesort/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[32758/50000] 2026-06-28 16:32:14 | R4 | bubblesort/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[32759/50000] 2026-06-28 16:32:15 | R4 | bubblesort/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[32760/50000] 2026-06-28 16:32:15 | R4 | bubblesort/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[32761/50000] 2026-06-28 16:32:16 | R4 | bubblesort/test_1_artifice_no_procyon vs queens/0_orig → NON-CLONE
[32762/50000] 2026-06-28 16:32:17 | R4 | bubblesort/test_1_artifice_no_procyon vs queens/1_artifice → NON-CLONE
[32763/50000] 2026-06-28 16:32:17 | R4 | bubblesort/test_1_artifice_no_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[32764/50000] 2026-06-28 16:32:18 | R4 | bubblesort/test_1_artifice_no_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[32765/50000] 2026-06-28 16:32:19 | R4 | bubblesort/test_1_artifice_no_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[32766/50000] 2026-06-28 16:32:19 | R4 | bubblesort/test_1_artifice_no_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[32767/50000] 2026-06-28 16:32:20 | R4 | bubblesort/test_1_artifice_no_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[32768/50000] 2026-06-28 16:32:20 | R4 | bubblesort/test_1_artifice_no_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[32769/50000] 2026-06-28 16:32:21 | R4 | bubblesort/test_1_artifice_no_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[32770/50000] 2026-06-28 16:32:22 | R4 | bubblesort/test_1_artifice_no_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[32771/50000] 2026-06-28 16:32:22 | R4 | bubblesort/test_1_artifice_no_procyon vs railroadcar/0_orig → NON-CLONE
[32772/50000] 2026-06-28 16:32:23 | R4 | bubblesort/test_1_artifice_no_procyon vs railroadcar/1_artifice → NON-CLONE
[32773/50000] 2026-06-28 16:32:24 | R4 | bubblesort/test_1_artifice_no_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[32774/50000] 2026-06-28 16:32:24 | R4 | bubblesort/test_1_artifice_no_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[32775/50000] 2026-06-28 16:32:25 | R4 | bubblesort/test_1_artifice_no_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[32776/50000] 2026-06-28 16:32:25 | R4 | bubblesort/test_1_artifice_no_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[32777/50000] 2026-06-28 16:32:26 | R4 | bubblesort/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[32778/50000] 2026-06-28 16:32:27 | R4 | bubblesort/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[32779/50000] 2026-06-28 16:32:27 | R4 | bubblesort/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[32780/50000] 2026-06-28 16:32:28 | R4 | bubblesort/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[32781/50000] 2026-06-28 16:32:28 | R4 | bubblesort/test_1_artifice_no_procyon vs slinkedlist/0_orig → NON-CLONE
[32782/50000] 2026-06-28 16:32:29 | R4 | bubblesort/test_1_artifice_no_procyon vs slinkedlist/1_artifice → NON-CLONE
[32783/50000] 2026-06-28 16:32:30 | R4 | bubblesort/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[32784/50000] 2026-06-28 16:32:30 | R4 | bubblesort/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[32785/50000] 2026-06-28 16:32:31 | R4 | bubblesort/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[32786/50000] 2026-06-28 16:32:31 | R4 | bubblesort/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[32787/50000] 2026-06-28 16:32:32 | R4 | bubblesort/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[32788/50000] 2026-06-28 16:32:33 | R4 | bubblesort/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[32789/50000] 2026-06-28 16:32:33 | R4 | bubblesort/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[32790/50000] 2026-06-28 16:32:34 | R4 | bubblesort/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[32791/50000] 2026-06-28 16:32:35 | R4 | bubblesort/test_1_artifice_no_procyon vs square/0_orig → NON-CLONE
[32792/50000] 2026-06-28 16:32:35 | R4 | bubblesort/test_1_artifice_no_procyon vs square/1_artifice → NON-CLONE
[32793/50000] 2026-06-28 16:32:36 | R4 | bubblesort/test_1_artifice_no_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[32794/50000] 2026-06-28 16:32:36 | R4 | bubblesort/test_1_artifice_no_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[32795/50000] 2026-06-28 16:32:37 | R4 | bubblesort/test_1_artifice_no_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[32796/50000] 2026-06-28 16:32:38 | R4 | bubblesort/test_1_artifice_no_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[32797/50000] 2026-06-28 16:32:38 | R4 | bubblesort/test_1_artifice_no_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[32798/50000] 2026-06-28 16:32:39 | R4 | bubblesort/test_1_artifice_no_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[32799/50000] 2026-06-28 16:32:40 | R4 | bubblesort/test_1_artifice_no_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[32800/50000] 2026-06-28 16:32:40 | R4 | bubblesort/test_1_artifice_no_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[32801/50000] 2026-06-28 16:32:41 | R4 | bubblesort/test_1_artifice_pg_krakatau vs InfixConverter/0_orig → NON-CLONE
[32802/50000] 2026-06-28 16:32:42 | R4 | bubblesort/test_1_artifice_pg_krakatau vs InfixConverter/1_artifice → NON-CLONE
[32803/50000] 2026-06-28 16:32:43 | R4 | bubblesort/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[32804/50000] 2026-06-28 16:32:44 | R4 | bubblesort/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[32805/50000] 2026-06-28 16:32:44 | R4 | bubblesort/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[32806/50000] 2026-06-28 16:32:45 | R4 | bubblesort/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[32807/50000] 2026-06-28 16:32:46 | R4 | bubblesort/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[32808/50000] 2026-06-28 16:32:46 | R4 | bubblesort/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[32809/50000] 2026-06-28 16:32:47 | R4 | bubblesort/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[32810/50000] 2026-06-28 16:32:48 | R4 | bubblesort/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[32811/50000] 2026-06-28 16:32:48 | R4 | bubblesort/test_1_artifice_pg_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[32812/50000] 2026-06-28 16:32:49 | R4 | bubblesort/test_1_artifice_pg_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
